  618
113	   7	   8	  39	  38	 5.222783969E-01
114	   7	   8	  40	  39	 3.376174357E-01
115	   7	   8	  42	  41	 1.341375839E-01
116	   7	   8	  44	  43	 4.290071024E-02
117	   8	   9	  11	  10	 5.210136982E+01
118	   8	   9	  12	  11	 1.172065357E+01
119	   8	   9	  13	  12	 4.695916811E+00
120	   8	   9	  15	  14	 2.509750443E-01
121	   8	   9	  16	  15	 1.136353769E-01
122	   8	   9	  18	  17	 4.242290776E-02
123	   8	   9	  19	  18	 1.541027245E-02
124	   8	   9	  20	  19	 9.081759313E-03
125	   8	   9	  21	  20	 4.958048780E-03
126	   8	   9	  24	  25	 1.908489645E-02
127	   8	   9	  28	  27	 4.760461475E-03
128	   8	   9	  28	  29	 6.507055845E-03
129	   8	   9	  29	  30	 1.047834228E-02
130	   8	   9	  31	  32	 2.172325860E-02
131	   8	   9	  36	  37	 1.072345480E+00
132	   8	   9	  38	  37	 3.176103087E-01
133	   8	   9	  39	  38	 5.048797977E-01
134	   8	   9	  40	  39	 3.152847008E-01
135	   8	   9	  41	  40	 1.265224216E-01
136	   8	   9	  42	  41	 1.263490288E-01
137	   8	   9	  43	  42	 5.926945539E-02
138	   8	   9	  44	  43	 2.900170862E-02
139	   8	   9	  45	  44	 1.631379828E-02
140	   8	   9	  46	  45	 1.547471328E-02
141	   8	   9	  48	   1	 2.867798000E-01
142	   9	  10	  12	  11	 3.812094653E+01
143	   9	  10	  13	  12	 1.595601185E+01
144	   9	  10	  15	  14	 8.896355121E-01
145	   9	  10	  16	  15	 4.213905685E-01
146	   9	  10	  18	  17	 1.467262240E-01
147	   9	  10	  20	  19	 4.192237665E-02
148	   9	  10	  21	  20	 3.152812228E-02
149	   9	  10	  21	  22	 1.065105150E-01
150	   9	  10	  22	  23	 1.552845983E-01
151	   9	  10	  25	  24	 3.722395062E-02
152	   9	  10	  27	  26	 1.548980043E-01
153	   9	  10	  28	  27	 6.868842360E-02
154	   9	  10	  29	  30	 5.374732482E-02
155	   9	  10	  31	  32	 9.604974543E-02
156	   9	  10	  32	  33	 1.043001951E-01
157	   9	  10	  33	  34	 2.992946605E-01
158	   9	  10	  34	  35	 4.840528652E-01
159	   9	  10	  36	  37	 4.622042502E+00
160	   9	  10	  38	  37	 1.036073186E+00
161	   9	  10	  39	  38	 2.172040156E+00
162	   9	  10	  40	  39	 1.428476513E+00
163	   9	  10	  41	  40	 4.897934451E-01
164	   9	  10	  42	  41	 5.371009288E-01
165	   9	  10	  44	  43	 1.538111935E-01
166	   9	  10	  45	  44	 1.010673465E-01
167	   9	  10	  45	  46	 2.161858818E-01
168	   9	  10	  46	  47	 2.772064523E-01
169	  10	  11	  13	  12	 3.807018593E+01
170	  10	  11	  15	  14	 1.337819317E+00
171	  10	  11	  16	  15	 6.086222205E-01
172	  10	  11	  18	  17	 2.093108686E-01
173	  10	  11	  20	  19	 5.696334357E-02
174	  10	  11	  21	  20	 4.039997776E-02
175	  10	  11	  21	  22	 1.167234524E-01
176	  10	  11	  22	  23	 1.606320396E-01
177	  10	  11	  25	  24	 2.670181380E-02
178	  10	  11	  27	  26	 1.663197086E-01
179	  10	  11	  28	  27	 7.638197374E-02
180	  10	  11	  29	  30	 7.014673905E-02
181	  10	  11	  31	  32	 1.300638378E-01
182	  10	  11	  32	  33	 1.457977464E-01
183	  10	  11	  33	  34	 4.083968294E-01
184	  10	  11	  34	  35	 6.668747997E-01
185	  10	  11	  36	  37	 6.217400246E+00
186	  10	  11	  38	  37	 2.343197335E+00
187	  10	  11	  39	  38	 2.773599085E+00
188	  10	  11	  40	  39	 1.621142269E+00
189	  10	  11	  42	  41	 6.096139947E-01
190	  10	  11	  44	  43	 1.615272743E-01
191	  10	  11	  45	  44	 1.031112905E-01
192	  10	  11	  45	  46	 1.896791694E-01
193	  10	  11	  46	  47	 2.479312762E-01
194	  11	  12	  14	  13	 3.398926024E+00
195	  11	  12	  15	  14	 1.757847307E+00
196	  11	  12	  16	  15	 7.338372140E-01
197	  11	  12	  17	  16	 1.963462137E-01
198	  11	  12	  18	  17	 2.412986639E-01
199	  11	  12	  19	  18	 7.504635903E-02
200	  11	  12	  20	  19	 6.008402562E-02
201	  11	  12	  21	  22	 8.548709288E-02
202	  11	  12	  22	  23	 1.051623944E-01
203	  11	  12	  25	  24	 1.826833475E-02
204	  11	  12	  26	  25	 5.915034916E-02
205	  11	  12	  27	  26	 1.127816418E-01
206	  11	  12	  31	  32	 1.653130428E-01
207	  11	  12	  32	  33	 2.020704211E-01
208	  11	  12	  33	  34	 5.321818043E-01
209	  11	  12	  34	  35	 9.206583867E-01
210	  11	  12	  35	  36	 1.527667681E+00
211	  11	  12	  36	  37	 7.363761159E+00
212	  11	  12	  38	  37	 6.817358159E+00
213	  11	  12	  39	  38	 2.470433897E+00
214	  11	  12	  40	  39	 7.578284687E-01
215	  11	  12	  41	  40	 2.714612635E-01
216	  11	  12	  42	  41	 2.833011191E-01
217	  11	  12	  43	  42	 1.122799620E-01
218	  11	  12	  44	  43	 5.308000373E-02
219	  11	  12	  45	  46	 3.363919047E-02
220	  11	  12	  46	  47	 6.512060554E-02
221	  11	  12	  48	   1	 2.046364325E+00
222	  12	  13	  15	  14	 3.601286601E+01
223	  12	  13	  16	  15	 1.159418758E+01
224	  12	  13	  17	  16	 3.605356057E+00
225	  12	  13	  18	  17	 3.325921784E+00
226	  12	  13	  19	  18	 1.097176280E+00
227	  12	  13	  20	  19	 5.689579127E-01
228	  12	  13	  21	  20	 2.937774719E-01
229	  12	  13	  21	  22	 3.581356075E-01
