618
1	1	1	1	2	1	4	1	3	3.44E+01
2	1	1	1	2	1	5	1	4	4.08E+00
3	1	1	1	2	1	7	1	6	1.14E+00
4	1	1	1	2	1	12	1	11	3.47E-01
5	1	1	1	2	1	14	1	15	1.23E-01
6	1	1	1	2	1	15	1	16	9.40E-02
7	1	1	1	2	1	18	1	17	7.58E-03
8	1	1	1	2	1	20	1	19	5.64E-02
9	1	1	1	2	1	22	1	21	7.14E-01
10	1	1	1	2	1	23	1	22	1.64E+00
11	1	1	1	2	1	24	1	23	2.96E+00
12	1	1	1	2	1	24	1	25	3.20E+00
13	1	1	1	2	1	25	1	26	1.18E+00
14	1	1	1	2	1	26	1	27	8.06E-01
15	1	1	1	2	1	27	1	28	2.98E-01
16	1	1	1	2	1	34	1	33	1.06E-01
17	1	1	1	2	1	39	1	40	8.18E-02
18	1	1	1	2	1	42	1	41	6.78E-03
19	1	1	1	2	1	44	1	43	1.11E-01
20	1	1	1	2	1	45	1	44	1.54E-01
21	1	1	1	2	1	46	1	45	9.17E-01
22	1	1	1	2	1	47	1	46	1.96E+00
23	1	1	1	2	1	48	1	47	4.13E+00
24	1	2	1	3	1	5	1	4	1.97E+01
25	1	2	1	3	1	6	1	7	8.13E-01
26	1	2	1	3	1	10	1	9	5.41E-01
27	1	2	1	3	1	12	1	11	6.62E-01
28	1	2	1	3	1	12	1	13	1.29E+00
29	1	2	1	3	1	15	1	16	1.44E-01
30	1	2	1	3	1	17	1	18	1.26E-02
31	1	2	1	3	1	20	1	19	3.17E-02
32	1	2	1	3	1	22	1	21	6.53E-01
33	1	2	1	3	1	23	1	22	1.43E+00
34	1	2	1	3	1	24	1	23	1.93E+00
35	1	2	1	3	1	24	1	25	2.36E+00
36	1	2	1	3	1	25	1	26	8.77E-01
37	1	2	1	3	1	26	1	27	6.80E-01
38	1	2	1	3	1	27	1	28	2.58E-01
39	1	2	1	3	1	30	1	31	1.20E-01
40	1	2	1	3	1	32	1	31	3.59E-02
41	1	2	1	3	1	37	1	36	4.10E-01
42	1	2	1	3	1	38	1	39	3.27E-01
43	1	2	1	3	1	39	1	40	2.48E-01
44	1	2	1	3	1	43	1	42	2.93E-01
45	1	2	1	3	1	44	1	43	1.59E-01
46	1	2	1	3	1	46	1	45	1.62E+00
47	1	2	1	3	1	47	1	46	2.36E+00
48	1	2	1	3	1	48	1	47	2.09E+00
49	1	2	1	3	1	1	1	48	4.41E+01
50	1	3	1	4	1	1	1	48	1.01E+01
51	1	3	1	4	1	48	1	47	7.91E-01
52	1	3	1	4	1	47	1	46	1.22E+00
53	1	3	1	4	1	46	1	45	9.04E-01
54	1	3	1	4	1	45	1	44	1.13E-01
55	1	3	1	4	1	44	1	43	8.37E-02
56	1	3	1	4	1	43	1	42	1.65E-01
57	1	3	1	4	1	6	1	5	4.16E+00
58	1	3	1	4	1	10	1	9	2.53E-01
59	1	3	1	4	1	22	1	21	2.74E-01
60	1	3	1	4	1	23	1	22	5.79E-01
61	1	3	1	4	1	24	1	23	7.32E-01
62	1	3	1	4	1	24	1	25	8.29E-01
63	1	3	1	4	1	25	1	26	3.90E-01
64	1	3	1	4	1	26	1	27	3.12E-01
65	1	3	1	4	1	27	1	28	1.18E-01
66	1	3	1	4	1	30	1	29	1.73E-02
67	1	3	1	4	1	30	1	31	5.57E-02
68	1	3	1	4	1	32	1	31	2.08E-02
69	1	3	1	4	1	37	1	36	2.75E-01
70	1	3	1	4	1	39	1	40	1.52E-01
71	1	4	1	5	1	7	1	6	2.04E+01
72	1	4	1	5	1	20	1	19	8.37E-03
73	1	4	1	5	1	21	1	20	9.96E-03
74	1	4	1	5	1	28	1	29	8.03E-03
75	1	4	1	5	1	31	1	30	9.67E-03
76	1	4	1	5	1	36	1	37	2.55E-01
77	1	4	1	5	1	39	1	38	1.50E-01
78	1	4	1	5	1	40	1	39	1.07E-01
79	1	4	1	5	1	42	1	41	2.95E-02
80	1	4	1	5	1	44	1	43	2.16E-02
81	1	4	1	5	1	45	1	44	2.84E-02
82	1	4	1	5	1	1	1	48	3.94E-01
83	1	5	1	6	1	8	1	7	8.46E+00
84	1	5	1	6	1	21	1	20	1.09E-02
85	1	5	1	6	1	36	1	37	4.17E-01
86	1	5	1	6	1	42	1	41	5.61E-02
87	1	5	1	6	1	44	1	43	4.16E-02
88	1	5	1	6	1	45	1	44	4.40E-02
89	1	6	1	7	1	9	1	8	1.17E+01
90	1	6	1	7	1	10	1	9	5.03E-01
91	1	6	1	7	1	11	1	10	8.21E-01
92	1	6	1	7	1	19	1	18	2.75E-02
93	1	6	1	7	1	20	1	21	6.05E-03
94	1	6	1	7	1	22	1	21	9.55E-02
95	1	6	1	7	1	23	1	22	1.85E-01
96	1	6	1	7	1	24	1	25	2.09E-01
97	1	6	1	7	1	29	1	28	9.19E-03
98	1	6	1	7	1	30	1	31	2.30E-02
99	1	6	1	7	1	42	1	41	2.97E-02
100	1	6	1	7	1	43	1	42	8.62E-02
101	1	6	1	7	1	44	1	43	2.67E-02
102	1	6	1	7	1	45	1	44	2.10E-02
103	1	6	1	7	1	46	1	45	3.08E-01
104	1	6	1	7	1	47	1	46	3.99E-01
105	1	6	1	7	1	1	1	48	1.51E+00
106	1	7	1	8	1	10	1	9	9.65E+00
107	1	7	1	8	1	11	1	10	7.77E+00
108	1	7	1	8	1	12	1	11	6.60E+00
109	1	7	1	8	1	18	1	17	6.13E-02
110	1	7	1	8	1	28	1	29	1.03E-02
111	1	7	1	8	1	31	1	30	3.32E-03
