179 2593 3355 2928 4053 179 1
180 3527 3571 2943 4342 180 1
181 1909 2989 2636 3700 181 1
182 2365 3066 2934 3188 182 1
183 878 3005 2628 3039 183 1
184 1893 1683 1972 2702 184 1
185 1500 2617 3199 4307 185 1
186 2987 3427 2688 3674 186 1
187 2647 3816 2348 3937 187 1
188 3205 3839 2348 4249 188 1
189 2349 3454 2673 4359 189 1
190 3052 3676 2666 3955 190 1
191 2396 2750 2666 3902 191 1
192 831 921 2916 3634 192 1
193 2382 3056 2629 3615 193 1
194 2911 3375 3024 3903 194 1
195 2505 2913 2648 3168 195 1
196 665 2906 2751 3617 196 1
197 1107 2795 2668 3483 197 1
198 2414 3080 2780 3803 198 1
199 2647 2750 3101 3816 199 1
200 2446 2865 2602 4209 200 1
201 1790 3368 1655 3425 201 1
202 1442 3510 3025 3729 202 1
203 3504 3586 2785 3683 203 1
204 2975 3029 2673 3706 204 1
205 3157 3390 2894 3534 205 1
206 2525 3415 3170 3664 206 1
207 2468 3195 3109 3490 207 1
208 2589 3539 3560 4219 208 1
209 1013 59 2821 3113 209 1
210 2426 2829 3084 3728 210 1
211 2830 2959 2416 3541 211 1
212 2380 3170 3415 3664 212 1
213 332 2724 2996 3150 213 1
214 1402 3113 4104 4378 214 1
215 2520 3307 2784 3400 215 1
216 2677 3241 2949 3678 216 1
217 2637 3147 2396 3902 217 1
218 2709 2882 2867 3366 218 1
219 2773 4129 2704 4253 219 1
220 2737 3253 2738 3847 220 1
221 3109 3195 2575 3490 221 1
222 2509 2903 2725 3940 222 1
223 2719 3333 2435 3831 223 1
224 2348 2901 2754 3431 224 1
225 2973 3349 3115 3746 225 1
226 956 2765 2884 3234 226 1
227 2970 4045 3786 4144 227 1
228 2626 3744 3510 4050 228 1
229 2616 3939 2666 3955 229 1
230 2457 2741 3108 4478 230 1
231 2984 3337 2977 3820 231 1
232 2841 3376 3018 3821 232 1
233 2384 3316 2589 3560 233 1
234 1204 3339 2845 4136 234 1
235 1376 61 3493 3494 235 1
236 1500 3067 2617 4307 236 1
237 2385 3788 3336 4020 237 1
238 2382 2683 2844 3033 238 1
239 3106 3955 3342 4241 239 1
240 2479 4045 2970 4144 240 1
241 2675 3571 3527 4342 241 1
242 1127 3178 2676 3412 242 1
243 2701 3539 2384 3689 243 1
244 2451 3523 2746 3597 244 1
245 1584 3344 2846 3833 245 1
246 2500 3653 3142 3773 246 1
247 2705 2485 3465 3681 247 1
248 2586 3241 2727 3398 248 1
249 2445 2683 2995 3033 249 1
250 2343 3433 3694 3796 250 1
251 2426 3084 3348 3728 251 1
252 2382 2629 3056 3662 252 1
253 2354 2896 3087 3850 253 1
254 3349 3115 3746 4026 254 1
255 2560 3115 2973 3349 255 1
256 38 2638 3192 3789 256 1
257 2388 3480 2928 3917 257 1
258 3112 3265 2507 3475 258 1
259 3606 4134 2967 4286 259 1
260 2425 2600 3373 3589 260 1
261 1628 2692 2920 2952 261 1
262 2785 3504 2605 3586 262 1
263 2362 2886 3089 3974 263 1
264 315 423 2859 3685 264 1
265 2396 3147 2637 4241 265 1
266 2445 2995 2781 3422 266 1
267 2424 2857 3016 3622 267 1
268 2871 3074 2733 3719 268 1
269 2788 3079 2489 3859 269 1
270 2682 4052 3283 4405 270 1
271 2902 2921 2464 4225 271 1
272 3262 3528 2690 3695 272 1
273 2409 3276 2825 3447 273 1
274 2796 3134 3126 4084 274 1
275 2472 2806 3179 4105 275 1
276 2562 3350 3153 4505 276 1
277 2801 2963 2642 3813 277 1
278 2389 3094 2827 4006 278 1
279 2551 2436 2712 3463 279 1
280 2543 2631 2926 3804 280 1
281 2414 2748 3080 3803 281 1
282 2747 3162 2947 3883 282 1
283 1048 2670 1025 3483 283 1
284 3052 3676 2745 4504 284 1
285 2380 3170 2858 3295 285 1
286 2344 3924 3212 4311 286 1
287 3295 3347 2695 3962 287 1
288 1361 2682 1281 3283 288 1
289 2441 2949 2987 3503 289 1
290 2901 2348 3839 4249 290 1
291 2949 3427 2987 3503 291 1
292 2691 2408 3162 4179 292 1
293 2537 2921 3562 3640 293 1
294 2373 3181 2787 3209 294 1
295 2692 2394 3547 3975 295 1
296 2759 2464 3021 4225 296 1
297 2087 2965 37 3192 297 1
298 3527 2943 3867 4342 298 1
299 2408 3154 2691 3808 299 1
300 2447 2947 3184 3435 300 1
301 2857 3065 3040 3114 301 1
302 2388 3355 2928 3480 302 1
303 2376 3017 2807 3077 303 1
304 2543 3174 2631 3413 304 1
305 1304 2821 59 3113 305 1
306 2773 3210 2704 3446 306 1
307 2670 2813 1048 3766 307 1
308 2439 2687 3710 4015 308 1
309 2637 3342 3955 4241 309 1
310 2358 3348 2914 3598 310 1
311 2393 3127 2682 3919 311 1
312 2368 4084 3134 4420 312 1
313 3031 3788 3336 4268 313 1
314 2478 2818 3206 3597 314 1
315 2415 2850 2728 3036 315 1
316 2637 2753 3342 4241 316 1
317 1657 2868 2858 4023 317 1
318 3336 3788 3031 4020 318 1
319 2534 3620 3231 3856 319 1
320 3116 3451 1766 3747 320 1
321 2787 2467 3209 4039 321 1
322 2445 2746 2923 3007 322 1
323 2393 2948 2849 3978 323 1
324 2476 2941 2787 3181 324 1
325 2490 3316 3290 3739 325 1
326 2631 2543 3413 3804 326 1
327 1655 3368 2953 3425 327 1
328 2399 3050 3161 3677 328 1
329 2446 2602 2865 3540 329 1
330 2544 3425 1592 3456 330 1
331 2389 2961 2827 3094 331 1
332 1207 2670 2821 4138 332 1
333 2640 2911 2496 2989 333 1
334 2415 2831 2728 2850 334 1
335 2561 2858 3170 3295 335 1
336 2490 2891 3316 3739 336 1
337 2396 2637 3902 3955 337 1
338 2664 3591 2725 3694 338 1
339 2731 2957 2917 3966 339 1
340 3330 3449 2487 3618 340 1
341 2398 3190 3575 3850 341 1
342 2539 3510 2626 3744 342 1
343 2688 3001 2507 4245 343 1
344 2345 2927 2690 3092 344 1
345 2368 3126 2861 3134 345 1
346 590 3831 3333 3835 346 1
347 2765 3234 1108 3353 347 1
348 986 2815 2669 3566 348 1
349 3694 3796 2755 4260 349 1
350 2571 3399 2723 3488 350 1
351 976 44 1217 3443 351 1
352 2343 3694 3591 3796 352 1
353 2021 3482 2974 3738 353 1
354 2593 2909 2869 3377 354 1
355 2923 3243 2524 3853 355 1
356 2468 3109 3195 3811 356 1
357 49 1136 2007 2968 357 1
358 3676 3937 3745 4030 358 1
359 3066 3188 2365 3526 359 1
360 2403 3047 2878 4219 360 1
361 2444 3928 3236 4050 361 1
362 2600 2425 3373 3896 362 1
363 2666 3114 2750 3676 363 1
364 2682 3127 2393 4247 364 1
365 2690 3611 3103 4012 365 1
366 2450 2894 3246 3390 366 1
367 2692 3010 2394 3975 367 1
368 2687 2766 2399 2971 368 1
369 2411 3249 3018 4086 369 1
370 2546 3006 2545 3155 370 1
